# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   562.0     286.5  0.513711  0.253906
   563.0     286.5  0.514625  0.253906
   564.0     222.6  0.515539  0.420387
   565.0     222.6  0.516453  0.420387
   566.0     222.6  0.517367  0.420387
   567.0     286.5  0.518282  0.253906
   568.0     286.5  0.519196  0.253906
   569.0     286.5  0.520110  0.253906
   570.0     222.6  0.521024  0.420387
   571.0     222.6  0.521938  0.420387
   572.0     222.6  0.522852  0.420387
   573.0     286.5  0.523766  0.253906
   574.0     287.0  0.524680  0.252604
   575.0     287.5  0.525594  0.251302
   576.0     222.9  0.526508  0.419643
   577.0     222.9  0.527422  0.419643
   578.0     222.9  0.528336  0.419643
   579.0     287.5  0.529250  0.251302
   580.0     287.5  0.530165  0.251302
   581.0     288.0  0.531079  0.250000
   582.0     223.1  0.531993  0.418899
   583.0     223.1  0.532907  0.418899
   584.0     223.1  0.533821  0.418899
   585.0     288.5  0.534735  0.248698
   586.0     288.5  0.535649  0.248698
   587.0     288.5  0.536563  0.248698
   588.0     231.5  0.537477  0.397135
   589.0     250.8  0.538391  0.346788
   590.0     270.2  0.539305  0.296441
   591.0     289.5  0.540219  0.246094
   592.0     289.5  0.541133  0.246094
   593.0     289.5  0.542048  0.246094
   594.0     231.9  0.542962  0.396159
   595.0     251.4  0.543876  0.345269
   596.0     271.0  0.544790  0.294379
   597.0     290.5  0.545704  0.243490
   598.0     290.5  0.546618  0.243490
   599.0     291.0  0.547532  0.242188
   600.0     224.0  0.548446  0.416667
   601.0     224.0  0.549360  0.416667
   602.0     224.0  0.550274  0.416667
   603.0     292.0  0.551188  0.239583
   604.0     292.5  0.552102  0.238281
   605.0     292.5  0.553016  0.238281
   606.0     272.7  0.553931  0.289931
   607.0     252.8  0.554845  0.341580
   608.0     233.0  0.555759  0.393229
   609.0     293.5  0.556673  0.235677
   610.0     293.5  0.557587  0.235677
   611.0     293.5  0.558501  0.235677
   612.0     233.4  0.559415  0.392253
   613.0     253.9  0.560329  0.338759
   614.0     274.5  0.561243  0.285265
   615.0     295.0  0.562157  0.231771
   616.0     295.5  0.563071  0.230469
   617.0     295.5  0.563985  0.230469
   618.0     225.1  0.564899  0.413690
   619.0     225.1  0.565814  0.413690
   620.0     225.1  0.566728  0.413690
   621.0     296.0  0.567642  0.229167
   622.0     296.5  0.568556  0.227865
   623.0     296.5  0.569470  0.227865
   624.0     234.5  0.570384  0.389323
   625.0     234.7  0.571298  0.388835
   626.0     234.9  0.572212  0.388346
